Barris	Nacionalitat	Total	Genere
la Sagrera	Rússia	30	Home
el Congres i els Indians	Rússia	31	Home
Navas	Rússia	19	Home
el Camp del Arpa del Clot	Rússia	49	Home
el Clot	Rússia	31	Home
el Parcila Llacuna del Poblenou	Rússia	31	Home
la Vila Olimpica del Poblenou	Rússia	32	Home
el Poblenou	Rússia	77	Home
Diagonal Mariel Front Maritim del Poblenou	Rússia	137	Home
el Besos i el Maresme	Rússia	128	Home
Provençals del Poblenou	Rússia	58	Home
Sant Marti de Provençals	Rússia	28	Home
la Verneda i la Pau	Rússia	39	Home
el Raval	Portugal	134	Home
el Barri Gotic	Portugal	78	Home
la Barceloneta	Portugal	81	Home
Sant Pere Santa Caterina i la Ribera	Portugal	90	Home
el Fort Pienc	Portugal	78	Home
la Sagrada Familia	Portugal	136	Home
la Dreta del Eixample	Portugal	104	Home
l Antiga Esquerra del Eixample	Portugal	108	Home
la Nova Esquerra del Eixample	Portugal	139	Home
Sant Antoni	Portugal	91	Home
el Poble Sec- A E I Parc Montjuïc	Portugal	75	Home
la Marina del Prat Vermell- A E I Zona Franca	Portugal	0	Home
la Marina de Port	Portugal	31	Home
la Font de la Guatlla	Portugal	22	Home
Hostafrancs	Portugal	31	Home
la Bordeta	Portugal	14	Home
Sants- Badal	Portugal	35	Home
Sants	Portugal	72	Home
les Corts	Portugal	71	Home
la Maternitat i Sant Ramon	Portugal	24	Home
Pedralbes	Portugal	19	Home
Vallvidrerael Tibidabo i les Planes	Portugal	6	Home
Sarria	Portugal	38	Home
les Tres Torres	Portugal	12	Home
Sant Gervasi-la Bonanova	Portugal	36	Home
Sant Gervasi- Galvany	Portugal	70	Home
el Putxet i el Farro	Portugal	54	Home
Vallcarca i els Penitents	Portugal	42	Home
el Coll	Portugal	6	Home
la Salut	Portugal	26	Home
la Vila de Gracia	Portugal	130	Home
el Campden Grassot i Gracia Nova	Portugal	79	Home
el Baix Guinardo	Portugal	42	Home
Can Baro	Portugal	9	Home
el Guinardo	Portugal	48	Home
la Font d en Fargues	Portugal	6	Home
el Carmel	Portugal	34	Home
la Teixonera	Portugal	21	Home
Sant Genis dels Agudells	Portugal	8	Home
Montbau	Portugal	4	Home
la Vall d Hebron	Portugal	5	Home
la Clota	Portugal	0	Home
Horta	Portugal	29	Home
Vilapicina i la Torre Llobeta	Portugal	35	Home
Porta	Portugal	23	Home
el Turo de la Peira	Portugal	11	Home
Can Peguera	Portugal	1	Home
la Guineueta	Portugal	8	Home
Canyelles	Portugal	5	Home
les Roquetes	Portugal	10	Home
Verdun	Portugal	14	Home
la Prosperitat	Portugal	14	Home
la Trinitat Nova	Portugal	5	Home
Torre Baro	Portugal	5	Home
Ciutat Meridiana	Portugal	9	Home
Vallbona	Portugal	4	Home
la Trinitat Vella	Portugal	9	Home
Baro de Viver	Portugal	2	Home
el Bon Pastor	Portugal	21	Home
Sant Andreu	Portugal	36	Home
la Sagrera	Portugal	28	Home
el Congres i els Indians	Portugal	8	Home
Navas	Portugal	36	Home
el Camp del Arpa del Clot	Portugal	58	Home
el Clot	Portugal	69	Home
el Parcila Llacuna del Poblenou	Portugal	31	Home
la Vila Olimpica del Poblenou	Portugal	25	Home
el Poblenou	Portugal	67	Home
Diagonal Mariel Front Maritim del Poblenou	Portugal	39	Home
el Besos i el Maresme	Portugal	42	Home
Provençals del Poblenou	Portugal	51	Home
Sant Marti de Provençals	Portugal	32	Home
la Verneda i la Pau	Portugal	27	Home
el Raval	Ucraïna	59	Home
el Barri Gotic	Ucraïna	42	Home
la Barceloneta	Ucraïna	49	Home
Sant Pere Santa Caterina i la Ribera	Ucraïna	25	Home
el Fort Pienc	Ucraïna	46	Home
