Barris	TOTAL	Total_Europa	Espanya	Itàlia	França	RegneUnit	Alemanya	Romania	Rússia	Portugal	Ucraïna	PaïsosBaixos	Polònia	Bulgària	Suècia	Bèlgica	Grècia	Irlanda	Suïssa	Resta_Europa		Total_Africa	Marroc,el	Algèria	Senegal	Resta_Africa		Total_America	Colòmbia	Hondures	Perú	Veneçuela	Bolívia	Equador	Argentina	Brasil	RepúblicaDominicana	EstatsUnits,els	Mèxic	Xile	Paraguai	Cuba	ElSalvador	Uruguai	Resta_America		Total_Asia	Xina	Pakistan	Filipines	Índia	Bangladesh	Geòrgia	Armènia	Japó	Nepal	Turquia	Resta_Asia		Oceania	Apàtrides_noconsta
963.Navas	11.851	10.547	10.030	152	44	18	16	74	50	25	43	6	25	13	7	5	2	0	4	33		75	49	4	8	14		817	88	72	132	72	101	38	53	43	56	10	13	29	30	17	26	16	21		408	272	21	17	5	1	23	26	6	5	7	25		0	4
1064.elCampdelArpadelClot	20.729	18.246	16.906	440	165	81	81	77	95	58	66	36	47	18	17	22	14	5	8	110		168	139	6	3	20		1.664	195	101	212	195	191	99	115	89	93	41	67	60	65	32	15	28	66		646	365	65	36	30	10	40	24	20	12	9	35		4	1
1065.elClot	14.172	12.731	11.961	235	76	42	32	74	54	49	47	11	33	16	8	6	6	3	7	71		157	118	13	4	22		850	86	90	101	85	58	36	61	70	44	21	33	44	60	15	9	17	20		431	286	37	12	6	1	30	14	9	2	8	26		1	2
1066.elParcilaLlacunadelPoblenou	8.122	7.199	6.350	251	102	59	56	50	64	21	21	20	31	24	20	7	14	8	9	92		102	78	3	0	21		484	62	23	51	45	15	21	39	55	16	38	22	23	32	11	10	10	11		327	172	27	17	5	3	14	5	10	0	19	55		4	6
1067.laVilaOlímpicadelPoblenou	4.772	4.478	3.914	130	81	31	40	21	47	19	21	15	28	14	14	13	14	6	5	65		15	12	0	1	2		204	22	4	10	20	8	3	40	35	4	23	12	5	1	3	2	1	11		71	26	6	2	8	1	1	0	6	0	4	17		3	1
1068.elPoblenou	17.638	16.156	14.232	595	257	144	168	68	156	68	38	37	55	37	38	33	11	14	10	195		103	67	4	7	25		878	86	57	54	107	56	31	101	110	18	61	49	39	38	18	6	16	31		483	209	117	13	14	7	23	20	7	3	19	51		14	4
1069.DiagonalMarielFrontMarítimdelPoblenou	6.944	6.408	5.592	179	78	42	44	37	200	26	39	23	18	9	22	11	2	6	4	76		52	34	5	0	13		301	35	3	15	37	8	8	37	66	3	24	19	6	12	3	1	12	12		180	81	10	6	16	0	4	4	5	0	8	46		3	0
1070.elBesòsielMaresme	12.061	9.616	8.780	82	23	15	14	171	204	26	161	4	26	42	2	5	2	2	1	56		322	226	19	40	37		922	81	240	89	92	80	70	46	46	48	4	19	17	25	20	26	6	13		1.200	232	716	8	70	17	62	10	0	43	4	38		1	0
1071.ProvençalsdelPoblenou	11.096	10.094	9.327	207	59	29	35	74	98	31	53	19	43	15	9	5	4	6	5	75		143	95	29	3	16		583	47	61	56	74	44	29	53	49	28	16	24	18	27	16	9	10	22		273	121	58	4	21	0	22	13	2	0	11	21		2	1
1072.SantMartídeProvençals	13.897	12.568	12.052	132	30	15	21	71	72	31	52	7	15	20	6	7	1	0	2	34		67	41	6	4	16		738	86	91	97	65	66	48	43	43	69	10	9	25	32	21	5	10	18		524	379	35	25	9	0	32	24	7	2	3	8		0	0
1073.laVernedailaPau	15.121	13.586	13.095	108	27	6	13	72	76	13	68	4	14	22	3	6	1	0	3	55		120	75	8	12	25		859	91	124	97	65	85	80	41	44	72	5	10	25	47	16	8	17	32		555	344	76	14	19	5	44	22	4	10	0	17		0	1
